Filename,Date,Time,Img
pondeli_03_f2_polymer_vsechny_p_bok_d70_2020-11-16_16-25-01-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,16:26:29,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d70_2020-11-16_16-28-59-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,16:30:28,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d85_2020-12-02_11-20-03-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,11:21:31,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d85_2020-12-02_11-23-07-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,11:24:36,Frgrnd
pondeli_03_f2_polymer_vsechny_p_bok_d85_2020-12-02_11-28-13-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,11:29:42,Frgrnd
pondeli_04_p2_polymer_mys01_bricho_00h_2020-09-07_13-34-41-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,13:36:00,Frgrnd
pondeli_04_p2_polymer_mys01_bricho_05h_2020-09-07_18-49-13-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,18:50:43,Frgrnd
pondeli_04_p2_polymer_mys01_l_bok_00h_2020-09-07_13-42-40-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,13:44:00,Frgrnd
pondeli_04_p2_polymer_mys01_l_bok_05h_2020-09-07_18-52-27-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,18:53:56,Frgrnd
pondeli_04_p2_polymer_mys01_p_bok_00h_2020-09-07_13-37-19-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,13:38:38,Frgrnd
pondeli_04_p2_polymer_mys01_p_bok_00h_2020-09-07_13-39-52-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,13:41:11,Frgrnd
pondeli_04_p2_polymer_mys01_p_bok_05h_2020-09-07_18-43-14-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,18:44:42,Frgrnd
pondeli_04_p2_polymer_mys01_p_bok_05h_2020-09-07_18-45-56-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,18:47:24,Frgrnd
pondeli_04_p2_polymer_mys02_bricho_00h_2020-09-07_13-50-38-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,13:51:58,Frgrnd
pondeli_04_p2_polymer_mys02_bricho_05h_2020-09-07_19-11-28-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:12:56,Frgrnd
pondeli_04_p2_polymer_mys02_l_bok_00h_2020-09-07_13-53-13-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,13:54:32,Frgrnd
